2019-05-16 09:10:50,565 [Worker-207] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for banking-app-soap
2019-05-16 09:10:50,569 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:11:21,976 [Worker-201] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-05-16 09:11:22,310 [Worker-201] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-16 09:11:22,956 [Worker-201] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banking-app-soap/src/main/java
2019-05-16 09:11:22,957 [Worker-201] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banking-app-soap/src/main/resources
2019-05-16 09:11:22,957 [Worker-201] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banking-app-soap/src/test/java
2019-05-16 09:11:22,957 [Worker-201] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banking-app-soap/src/test/resources
2019-05-16 09:11:23,187 [Worker-201] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for banking-app-soap
2019-05-16 09:11:23,190 [Worker-201] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2019-05-16 09:11:23,629 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:11:23,630 [Worker-207] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:11:23,631 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:11:23,632 [Worker-207] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:11:23,632 [Worker-207] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of banking-app-soap
2019-05-16 09:11:23,632 [Worker-207] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for banking-app-soap
2019-05-16 09:11:23,636 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:27:26,189 [Worker-201] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-16 09:27:26,812 [Worker-201] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:27:26,813 [Worker-201] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:27:26,815 [Worker-201] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:27:26,816 [Worker-201] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:27:28,062 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:27:28,066 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:27:28,068 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:27:28,068 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:35:34,749 [Worker-214] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-16 09:35:35,361 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:35:35,363 [Worker-214] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:35:35,364 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:35:35,365 [Worker-214] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-16 09:35:35,365 [Worker-214] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of banking-app-soap
2019-05-16 09:35:35,365 [Worker-214] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for banking-app-soap
2019-05-16 09:35:35,369 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 is missing, no dependency information available
2019-05-16 09:35:35,371 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-jar-plugin:3.0.2: Plugin org.apache.maven.plugins:maven-jar-plugin:3.0.2 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 has not been downloaded from it before.
2019-05-16 09:35:35,372 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 is missing, no dependency information available
2019-05-16 09:35:35,373 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-jar-plugin:3.0.2: Plugin org.apache.maven.plugins:maven-jar-plugin:3.0.2 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.apache.maven.plugins:maven-jar-plugin:jar:3.0.2 has not been downloaded from it before.
2019-05-16 09:35:35,375 [Worker-214] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-16 09:35:46,798 [Worker-213] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-05-16 09:35:47,013 [Worker-213] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:banking-app-soap:0.0.1-SNAPSHOT @ /Users/devkalagahamagar/eclipseMars/workspace/banking-app-soap/pom.xml.
2019-05-16 09:35:47,513 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banking-app-soap/src/main/java
2019-05-16 09:35:47,513 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banking-app-soap/src/main/resources
2019-05-16 09:35:47,513 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /banking-app-soap/src/test/java
2019-05-16 09:35:47,513 [Worker-213] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /banking-app-soap/src/test/resources
2019-05-16 09:35:47,704 [Worker-213] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for banking-app-soap
